id_discente,sexo,semestre_letivo,media_final,numero_faltas,cod_disciplina,disciplina,ch_total,descricao
"187,176",M,20142,0,0,"17,809",PESQUISA APLICADA À MAT COMPUTACIONAL,45,REP. FALTA
"107,380",M,20122,0,0,"3,829",LINGUAGEM PROGRAMACAO II,60,REP. FALTA
"187,999",M,20142,0,0,"2,690",INTRODUCAO A MICROELETRONICA,60,REP. FALTA
"151,040",M,20112,0,0,"2,690",INTRODUCAO A MICROELETRONICA,60,REP. FALTA
"191,920",M,20142,0,0,"3,817",INTRODUCAO A PROGRAMACAO,60,REP. FALTA
"149,890",M,20112,0,0,"7,034",FISICA APLICADA A COMPUTACAO I,60,REP. FALTA
"176,675",M,20131,1.2,0,"3,828",LINGUAGEM PROGRAMACAO I,60,REPROVADO
"258,205",M,20142,8.4,0,"7,034",FISICA APLICADA A COMPUTACAO I,60,APROVADO
"258,910",M,20162,null,null,"21,868",CIRCUITOS LOGICOS I,60,INDEFERIDO
"154,945",M,20131,8.1,0,"3,846",SISTEMAS OPERACIONAIS I,60,APROVADO
"149,948",M,20131,8.7,0,"2,697",LINGUAGENS FORMAIS E AUTOMATOS,60,APROVADO
"175,542",M,20131,7.5,0,"3,828",LINGUAGEM PROGRAMACAO I,60,APROVADO
"280,695",M,20162,null,null,"7,228",INTRODUÇÃO À COMPUTAÇÃO CIENTÍFICA,60,MATRICULADO
"187,058",M,20152,8.5,0,"2,702",ORDENACAO E RECUPERACAO DE DADOS,60,APROVADO
"185,465",M,20131,0,0,"7,034",FISICA APLICADA A COMPUTACAO I,60,REP. FALTA
"173,215",M,20151,8.2,0,"2,702",ORDENACAO E RECUPERACAO DE DADOS,60,APROVADO
"123,548",M,20112,8.7,0,"3,516",COMPUTADORES E SOCIEDADE,30,APROVADO
"181,817",M,20132,7.21,0,"9,265",INTROD À ENGENHARIA DE COMPUTAÇÃO,60,APROVADO
"258,901",F,20142,0,0,"3,828",LINGUAGEM PROGRAMACAO I,60,REP. FALTA
"107,641",M,20112,9.8,0,995,SISTEMA DE INFORMACAO E DECISAO,60,DISPENSADO
